Date,USDZAR
14/06/2017,12.77
15/06/2017,12.63
16/06/2017,12.87
19/06/2017,12.79
20/06/2017,12.98
21/06/2017,13.06
22/06/2017,13.06
23/06/2017,12.96
26/06/2017,12.91
27/06/2017,12.87
28/06/2017,13.01
29/06/2017,12.93
30/06/2017,12.99
03/07/2017,13.05
04/07/2017,13.19
05/07/2017,13.18
06/07/2017,13.39
07/07/2017,13.41
10/07/2017,13.38
12/07/2017,13.53
13/07/2017,13.24
14/07/2017,13.20
17/07/2017,13.02
18/07/2017,12.94
19/07/2017,12.90
20/07/2017,12.93
21/07/2017,13.02
24/07/2017,12.91
25/07/2017,12.95
26/07/2017,13.06
27/07/2017,12.89
28/07/2017,13.00
31/07/2017,12.99
01/08/2017,13.16
02/08/2017,13.25
03/08/2017,13.21
04/08/2017,13.37
07/08/2017,13.40
08/08/2017,13.22
09/08/2017,13.36
10/08/2017,13.43
11/08/2017,13.45
14/08/2017,13.43
15/08/2017,13.29
16/08/2017,13.31
17/08/2017,13.17
18/08/2017,13.28
21/08/2017,13.16
22/08/2017,13.15
23/08/2017,13.20
24/08/2017,13.15
25/08/2017,13.20
28/08/2017,13.00
29/08/2017,13.07
30/08/2017,12.99
31/08/2017,13.01
01/09/2017,12.99
04/09/2017,12.94
05/09/2017,12.94
06/09/2017,12.90
07/09/2017,12.79
08/09/2017,12.80
11/09/2017,12.90
12/09/2017,12.96
13/09/2017,12.98
14/09/2017,13.14
15/09/2017,13.12
18/09/2017,13.15
19/09/2017,13.28
20/09/2017,13.32
21/09/2017,13.32
22/09/2017,13.28
25/09/2017,13.23
26/09/2017,13.33
27/09/2017,13.36
28/09/2017,13.57
29/09/2017,13.51
02/10/2017,13.55
03/10/2017,13.58
04/10/2017,13.64
05/10/2017,13.57
06/10/2017,13.66
09/10/2017,13.76
10/10/2017,13.79
11/10/2017,13.68
12/10/2017,13.51
13/10/2017,13.46
16/10/2017,13.26
17/10/2017,13.33
18/10/2017,13.38
19/10/2017,13.55
20/10/2017,13.50
23/10/2017,13.69
24/10/2017,13.69
25/10/2017,13.74
26/10/2017,14.07
27/10/2017,14.24
30/10/2017,14.10
31/10/2017,14.05
01/11/2017,14.12
02/11/2017,14.05
03/11/2017,13.97
06/11/2017,14.19
07/11/2017,14.10
08/11/2017,14.21
09/11/2017,14.15
10/11/2017,14.25
13/11/2017,14.38
14/11/2017,14.46
15/11/2017,14.36
17/11/2017,14.14
20/11/2017,13.99
21/11/2017,14.04
22/11/2017,13.96
23/11/2017,13.82
24/11/2017,13.87
27/11/2017,14.05
28/11/2017,13.75
29/11/2017,13.66
30/11/2017,13.65
01/12/2017,13.71
04/12/2017,13.75
05/12/2017,13.52
06/12/2017,13.45
07/12/2017,13.52
08/12/2017,13.72
11/12/2017,13.66
12/12/2017,13.60
13/12/2017,13.66
14/12/2017,13.46
15/12/2017,13.49
18/12/2017,13.09
19/12/2017,12.73
20/12/2017,12.72
21/12/2017,12.73
22/12/2017,12.75
25/12/2017,12.59
26/12/2017,12.59
27/12/2017,12.49
28/12/2017,12.25
29/12/2017,12.40
01/01/2018,12.32
02/01/2018,12.39
03/01/2018,12.44
04/01/2018,12.36
05/01/2018,12.29
08/01/2018,12.30
09/01/2018,12.37
10/01/2018,12.33
11/01/2018,12.42
12/01/2018,12.38
15/01/2018,12.37
16/01/2018,12.29
17/01/2018,12.25
18/01/2018,12.31
19/01/2018,12.11
22/01/2018,12.08
23/01/2018,12.04
24/01/2018,12.03
25/01/2018,11.87
26/01/2018,11.91
29/01/2018,11.85
30/01/2018,11.94
31/01/2018,11.96
01/02/2018,11.84
02/02/2018,11.84
05/02/2018,12.06
06/02/2018,12.10
07/02/2018,11.93
08/02/2018,12.06
09/02/2018,12.14
12/02/2018,12.02
13/02/2018,11.89
14/02/2018,11.96
15/02/2018,11.72
16/02/2018,11.62
19/02/2018,11.62
20/02/2018,11.67
21/02/2018,11.72
22/02/2018,11.66
23/02/2018,11.65
26/02/2018,11.57
27/02/2018,11.56
28/02/2018,11.70
01/03/2018,11.78
02/03/2018,11.85
05/03/2018,11.92
06/03/2018,11.83
07/03/2018,11.84
08/03/2018,11.84
09/03/2018,11.91
12/03/2018,11.81
13/03/2018,11.81
14/03/2018,11.78
15/03/2018,11.76
16/03/2018,11.90
19/03/2018,11.98
20/03/2018,12.01
21/03/2018,11.95
22/03/2018,11.82
23/03/2018,11.88
26/03/2018,11.70
27/03/2018,11.64
28/03/2018,11.64
29/03/2018,11.77
30/03/2018,11.83
02/04/2018,11.83
03/04/2018,11.85
04/04/2018,11.82
05/04/2018,11.86
06/04/2018,11.99
09/04/2018,12.02
10/04/2018,12.09
11/04/2018,12.03
12/04/2018,11.94
13/04/2018,12.04
16/04/2018,12.08
17/04/2018,12.03
18/04/2018,11.98
19/04/2018,11.92
20/04/2018,11.97
23/04/2018,12.09
24/04/2018,12.34
25/04/2018,12.31
26/04/2018,12.43
27/04/2018,12.38
30/04/2018,12.32
01/05/2018,12.44
02/05/2018,12.66
03/05/2018,12.69
04/05/2018,12.59
07/05/2018,12.50
08/05/2018,12.53
09/05/2018,12.58
10/05/2018,12.55
11/05/2018,12.31
14/05/2018,12.25
15/05/2018,12.32
16/05/2018,12.57
17/05/2018,12.43
18/05/2018,12.61
21/05/2018,12.75
22/05/2018,12.67
23/05/2018,12.56
24/05/2018,12.45
25/05/2018,12.42
28/05/2018,12.47
29/05/2018,12.45
30/05/2018,12.69
31/05/2018,12.52
01/06/2018,12.70
04/06/2018,12.67
05/06/2018,12.57
06/06/2018,12.75
07/06/2018,12.70
08/06/2018,12.97
11/06/2018,13.06
12/06/2018,13.15
13/06/2018,13.29
14/06/2018,13.31
15/06/2018,13.44
18/06/2018,13.41
19/06/2018,13.65
20/06/2018,13.73
21/06/2018,13.66
22/06/2018,13.58
25/06/2018,13.40
26/06/2018,13.51
27/06/2018,13.52
28/06/2018,13.85
29/06/2018,13.77
02/07/2018,13.71
03/07/2018,13.83
04/07/2018,13.68
05/07/2018,13.67
06/07/2018,13.53
09/07/2018,13.45
10/07/2018,13.40
11/07/2018,13.37
12/07/2018,13.55
13/07/2018,13.30
16/07/2018,13.25
17/07/2018,13.21
18/07/2018,13.27
19/07/2018,13.27
20/07/2018,13.54
23/07/2018,13.38
24/07/2018,13.45
25/07/2018,13.27
26/07/2018,13.10
27/07/2018,13.23
30/07/2018,13.18
31/07/2018,13.16
01/08/2018,13.23
02/08/2018,13.21
03/08/2018,13.43
06/08/2018,13.34
07/08/2018,13.43
08/08/2018,13.32
09/08/2018,13.39
10/08/2018,13.68
13/08/2018,14.24
14/08/2018,14.38
15/08/2018,14.27
16/08/2018,14.59
17/08/2018,14.71
20/08/2018,14.74
21/08/2018,14.50
22/08/2018,14.38
23/08/2018,14.16
24/08/2018,14.38
27/08/2018,14.24
28/08/2018,14.16
29/08/2018,14.19
30/08/2018,14.34
31/08/2018,14.70
03/09/2018,14.72
04/09/2018,14.85
05/09/2018,15.32
06/09/2018,15.40
07/09/2018,15.31
10/09/2018,15.25
11/09/2018,15.19
12/09/2018,15.06
13/09/2018,14.94
14/09/2018,14.77
17/09/2018,14.93
18/09/2018,14.97
19/09/2018,14.86
20/09/2018,14.64
21/09/2018,14.30
24/09/2018,14.34
25/09/2018,14.36
26/09/2018,14.33
27/09/2018,14.13
28/09/2018,14.10
01/10/2018,14.10
02/10/2018,14.21
03/10/2018,14.35
04/10/2018,14.63
05/10/2018,14.83
08/10/2018,14.81
09/10/2018,14.84
10/10/2018,14.57
11/10/2018,14.75
12/10/2018,14.58
15/10/2018,14.53
16/10/2018,14.33
17/10/2018,14.17
18/10/2018,14.24
19/10/2018,14.43
22/10/2018,14.41
23/10/2018,14.32
24/10/2018,14.22
25/10/2018,14.55
26/10/2018,14.61
29/10/2018,14.56
30/10/2018,14.70
31/10/2018,14.60
01/11/2018,14.76
02/11/2018,14.40
05/11/2018,14.26
06/11/2018,14.14
07/11/2018,14.10
08/11/2018,13.91
09/11/2018,14.12
12/11/2018,14.33
13/11/2018,14.45
14/11/2018,14.42
15/11/2018,14.36
16/11/2018,14.19
19/11/2018,13.97
20/11/2018,14.01
21/11/2018,14.09
22/11/2018,13.92
23/11/2018,13.73
26/11/2018,13.85
27/11/2018,13.91
28/11/2018,13.91
29/11/2018,13.77
30/11/2018,13.65
03/12/2018,13.72
04/12/2018,13.68
05/12/2018,13.82
06/12/2018,13.83
07/12/2018,14.04
10/12/2018,14.18
11/12/2018,14.35
12/12/2018,14.32
13/12/2018,14.10
14/12/2018,14.17
17/12/2018,14.38
18/12/2018,14.38
19/12/2018,14.33
20/12/2018,14.36
21/12/2018,14.38
24/12/2018,14.63
25/12/2018,14.51
26/12/2018,14.58
27/12/2018,14.50
28/12/2018,14.49
31/12/2018,14.42
01/01/2019,14.13
02/01/2019,14.39
03/01/2019,14.56
04/01/2019,14.31
07/01/2019,13.98
08/01/2019,13.86
09/01/2019,13.95
10/01/2019,13.84
11/01/2019,13.85
14/01/2019,13.86
15/01/2019,13.76
16/01/2019,13.72
17/01/2019,13.68
18/01/2019,13.71
21/01/2019,13.82
22/01/2019,13.81
23/01/2019,13.95
24/01/2019,13.81
25/01/2019,13.71
28/01/2019,13.60
29/01/2019,13.66
30/01/2019,13.61
31/01/2019,13.33
01/02/2019,13.25
04/02/2019,13.32
05/02/2019,13.41
06/02/2019,13.37
07/02/2019,13.53
08/02/2019,13.61
11/02/2019,13.61
12/02/2019,13.78
13/02/2019,13.75
14/02/2019,14.04
15/02/2019,14.11
18/02/2019,14.08
19/02/2019,14.07
20/02/2019,14.03
21/02/2019,14.01
22/02/2019,14.01
25/02/2019,13.95
26/02/2019,13.82
27/02/2019,13.83
28/02/2019,13.92
01/03/2019,14.06
04/03/2019,14.17
05/03/2019,14.19
06/03/2019,14.17
07/03/2019,14.26
08/03/2019,14.50
11/03/2019,14.41
12/03/2019,14.30
13/03/2019,14.35
14/03/2019,14.41
